Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,Close,High,Low,Open,Volume
2023-01-03,123.47061920166016,125.06999969482422,130.89999389648438,124.16999816894531,130.27999877929688,112117500
2023-01-04,124.7441177368164,126.36000061035156,128.66000366210938,125.08000183105469,126.88999938964844,89113600
2023-01-05,123.42125701904297,125.0199966430664,127.7699966430664,124.76000213623047,127.12999725341797,80962700
2023-01-06,127.96240997314453,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623047,87754700
2023-01-09,128.48562622070312,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800
2023-01-10,129.0582275390625,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200
2023-01-11,131.782958984375,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900
2023-01-12,131.70394897460938,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600
2023-01-13,133.03671264648438,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700
2023-01-17,134.2016143798828,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600
2023-01-18,133.48094177246094,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800
2023-01-19,133.54017639160156,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400
2023-01-20,136.10691833496094,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600
2023-01-23,139.30551147460938,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300
2023-01-24,140.7073516845703,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100
2023-01-25,140.0458984375,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300
2023-01-26,142.11903381347656,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100
2023-01-27,144.0638885498047,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800
2023-01-30,141.1713409423828,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300
2023-01-31,142.44483947753906,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500
2023-02-01,143.5702667236328,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600
2023-02-02,148.89132690429688,150.82000732421875,151.17999267578125,148.1699981689453,148.89999389648438,118339000
2023-02-03,152.52427673339844,154.5,157.3800048828125,147.8300018310547,148.02999877929688,154357300
2023-02-06,149.7896728515625,151.72999572753906,153.10000610351562,150.77999877929688,152.57000732421875,69858300
2023-02-07,152.67236328125,154.64999389648438,155.22999572753906,150.63999938964844,150.63999938964844,83322600
2023-02-08,149.97726440429688,151.9199981689453,154.5800018310547,151.1699981689453,153.8800048828125,64120100
2023-02-09,148.94070434570312,150.8699951171875,154.3300018310547,150.4199981689453,153.77999877929688,56007100
2023-02-10,149.3065185546875,151.00999450683594,151.33999633789062,149.22000122070312,149.4600067138672,57450700
2023-02-13,152.11448669433594,153.85000610351562,154.25999450683594,150.9199981689453,150.9499969482422,62199000
2023-02-14,151.4718017578125,153.1999969482422,153.77000427246094,150.86000061035156,152.1199951171875,61707600
2023-02-15,153.57777404785156,155.3300018310547,155.5,152.8800048828125,153.11000061035156,65573800
2023-02-16,151.97607421875,153.7100067138672,156.3300018310547,153.35000610351562,153.50999450683594,68167900
2023-02-17,150.8291473388672,152.5500030517578,153.0,150.85000610351562,152.35000610351562,59144100
2023-02-21,146.8050537109375,148.47999572753906,151.3000030517578,148.41000366210938,150.1999969482422,58867200
2023-02-22,147.23019409179688,148.91000366210938,149.9499969482422,147.16000366210938,148.8699951171875,51011300
2023-02-23,147.7146759033203,149.39999389648438,150.33999633789062,147.24000549316406,150.08999633789062,48394200
2023-02-24,145.05503845214844,146.7100067138672,147.19000244140625,145.72000122070312,147.11000061035156,55469600
2023-02-27,146.2513885498047,147.9199981689453,149.1699981689453,147.4499969482422,147.7100067138672,44998500
2023-02-28,145.7471160888672,147.41000366210938,149.0800018310547,146.8300018310547,147.0500030517578,50547000
2023-03-01,143.6708221435547,145.30999755859375,147.22999572753906,145.00999450683594,146.8300018310547,55479000
2023-03-02,144.2640380859375,145.91000366210938,146.7100067138672,143.89999389648438,144.3800048828125,52238100
2023-03-03,149.32627868652344,151.02999877929688,151.11000061035156,147.3300018310547,148.0399932861328,70732300
2023-03-06,152.09471130371094,153.8300018310547,156.3000030517578,153.4600067138672,153.7899932861328,87558000
2023-03-07,149.889892578125,151.60000610351562,154.02999877929688,151.1300048828125,153.6999969482422,56182000
2023-03-08,151.1455535888672,152.8699951171875,153.47000122070312,151.8300018310547,152.80999755859375,47204800
2023-03-09,148.89126586914062,150.58999633789062,154.5399932861328,150.22999572753906,153.55999755859375,53833600
2023-03-10,146.8248291015625,148.5,150.94000244140625,147.61000061035156,150.2100067138672,68572400
2023-03-13,148.77259826660156,150.47000122070312,153.13999938964844,147.6999969482422,147.80999755859375,84457100
2023-03-14,150.86871337890625,152.58999633789062,153.39999389648438,150.10000610351562,151.27999877929688,73695900
2023-03-15,151.26419067382812,152.99000549316406,153.25,149.9199981689453,151.19000244140625,77167900
2023-03-16,154.09193420410156,155.85000610351562,156.4600067138672,151.63999938964844,152.16000366210938,76161100
2023-03-17,153.2515106201172,155.0,156.74000549316406,154.27999877929688,156.0800018310547,98944600
2023-03-20,155.62442016601562,157.39999389648438,157.82000732421875,154.14999389648438,155.07000732421875,73641400
2023-03-21,157.4832000732422,159.27999877929688,159.39999389648438,156.5399932861328,157.32000732421875,73938300
2023-03-22,156.04959106445312,157.8300018310547,162.13999938964844,157.80999755859375,159.3000030517578,75701800
2023-03-23,157.13717651367188,158.92999267578125,161.5500030517578,157.67999267578125,158.8300018310547,67622100
2023-03-24,158.44229125976562,160.25,160.33999633789062,157.85000610351562,158.86000061035156,59196500
2023-03-27,156.4945068359375,158.27999877929688,160.77000427246094,157.8699951171875,159.94000244140625,52390300
2023-03-28,155.87159729003906,157.64999389648438,158.49000549316406,155.97999572753906,157.97000122070312,45992200
2023-03-29,158.9564208984375,160.77000427246094,161.0500030517578,159.35000610351562,159.3699951171875,51305700
2023-03-30,160.5284881591797,162.36000061035156,162.47000122070312,161.27000427246094,161.52999877929688,49501700
2023-03-31,163.03981018066406,164.89999389648438,165.0,161.91000366210938,162.44000244140625,68749800
2023-04-03,164.2955322265625,166.1699981689453,166.2899932861328,164.22000122070312,164.27000427246094,56976200
2023-04-04,163.76161193847656,165.6300048828125,166.83999633789062,165.11000061035156,166.60000610351562,46278300
2023-04-05,161.91270446777344,163.75999450683594,165.0500030517578,161.8000030517578,164.74000549316406,51511700
2023-04-06,162.8025360107422,164.66000366210938,164.9600067138672,162.0,162.42999267578125,45390100
2023-04-10,160.2021942138672,162.02999877929688,162.02999877929688,160.0800018310547,161.4199981689453,47716900
2023-04-11,158.98606872558594,160.8000030517578,162.36000061035156,160.50999450683594,162.35000610351562,47644200
2023-04-12,158.29397583007812,160.10000610351562,162.05999755859375,159.77999877929688,161.22000122070312,50133100
2023-04-13,163.69236755371094,165.55999755859375,165.8000030517578,161.4199981689453,161.6300048828125,68445600
2023-04-14,163.34632873535156,165.2100067138672,166.32000732421875,163.82000732421875,164.58999633789062,49386500
2023-04-17,163.3660888671875,165.22999572753906,165.38999938964844,164.02999877929688,165.08999633789062,41516200
2023-04-18,164.59210205078125,166.47000122070312,167.41000366210938,165.64999389648438,166.10000610351562,49923000
2023-04-19,165.7390594482422,167.6300048828125,168.16000366210938,165.5399932861328,165.8000030517578,47720200
2023-04-20,164.77008056640625,166.64999389648438,167.8699951171875,165.55999755859375,166.08999633789062,52456400
2023-04-21,163.15847778320312,165.02000427246094,166.4499969482422,164.49000549316406,165.0500030517578,58337300
2023-04-24,163.46498107910156,165.3300018310547,165.60000610351562,163.88999938964844,165.0,41949600
2023-04-25,161.92257690429688,163.77000427246094,166.30999755859375,163.72999572753906,165.19000244140625,48714100
2023-04-26,161.91270446777344,163.75999450683594,165.27999877929688,162.8000030517578,163.05999755859375,45498800
2023-04-27,166.51025390625,168.41000366210938,168.55999755859375,165.19000244140625,165.19000244140625,64902300
2023-04-28,167.76589965820312,169.67999267578125,169.85000610351562,167.8800048828125,168.49000549316406,55209200
2023-05-01,167.6769256591797,169.58999633789062,170.4499969482422,168.63999938964844,169.27999877929688,52472900
2023-05-02,166.63876342773438,168.5399932861328,170.35000610351562,167.5399932861328,170.08999633789062,48425700
2023-05-03,165.56105041503906,167.4499969482422,170.9199981689453,167.16000366210938,169.5,65136000
2023-05-04,163.91976928710938,165.7899932861328,167.0399932861328,164.30999755859375,164.88999938964844,81235400
2023-05-05,171.61204528808594,173.57000732421875,174.3000030517578,170.75999450683594,170.97999572753906,113316400
2023-05-08,171.54281616210938,173.5,173.85000610351562,172.11000061035156,172.47999572753906,55962800
2023-05-09,169.8323516845703,171.77000427246094,173.5399932861328,171.60000610351562,173.0500030517578,45326900
2023-05-10,171.6021270751953,173.55999755859375,174.02999877929688,171.89999389648438,173.02000427246094,53724500
2023-05-11,171.79000854492188,173.75,174.58999633789062,172.1699981689453,173.85000610351562,49514700
2023-05-12,170.85934448242188,172.57000732421875,174.05999755859375,171.0,173.6199951171875,45497800
2023-05-15,170.36428833007812,172.07000732421875,173.2100067138672,171.47000122070312,173.16000366210938,37266700
2023-05-16,170.36428833007812,172.07000732421875,173.13999938964844,171.8000030517578,171.99000549316406,42110300
2023-05-17,170.97811889648438,172.69000244140625,172.92999267578125,170.4199981689453,171.7100067138672,57951600
2023-05-18,173.31472778320312,175.0500030517578,175.24000549316406,172.5800018310547,173.0,65496700
2023-05-19,173.4236297607422,175.16000366210938,176.38999938964844,174.94000244140625,176.38999938964844,55772400
2023-05-22,172.47314453125,174.1999969482422,174.7100067138672,173.4499969482422,173.97999572753906,43570900
2023-05-23,169.8593292236328,171.55999755859375,173.3800048828125,171.27999877929688,173.1300048828125,50747300
2023-05-24,170.13653564453125,171.83999633789062,172.4199981689453,170.52000427246094,171.08999633789062,45143500
2023-05-25,171.27517700195312,172.99000549316406,173.89999389648438,171.69000244140625,172.41000366210938,56058300
2023-05-26,173.6909637451172,175.42999267578125,175.77000427246094,173.11000061035156,173.32000732421875,54835000
2023-05-30,175.54241943359375,177.3000030517578,178.99000549316406,176.57000732421875,176.9600067138672,55964400
2023-05-31,175.492919921875,177.25,179.35000610351562,176.75999450683594,177.3300018310547,99625300
2023-06-01,178.30477905273438,180.08999633789062,180.1199951171875,176.92999267578125,177.6999969482422,68901800
2023-06-02,179.15621948242188,180.9499969482422,181.77999877929688,179.25999450683594,181.02999877929688,61945900
2023-06-05,177.7998046875,179.5800018310547,184.9499969482422,178.0399932861328,182.6300048828125,121946500
2023-06-06,177.4335174560547,179.2100067138672,180.1199951171875,177.42999267578125,179.97000122070312,64848400
2023-06-07,176.05726623535156,177.82000732421875,181.2100067138672,177.32000732421875,178.44000244140625,61944600
